Date,Bidding Opportunity #,Jar #,Bid Amount,Player
9/2/2024,1,3,29,HS
9/2/2024,1,1,24,QM
9/2/2024,1,2,20,SO
9/2/2024,1,3,37,KH
9/2/2024,1,2,51,KM
9/2/2024,1,1,22,JD
9/2/2024,1,1,20,DN
9/2/2024,2,2,40,DN
9/2/2024,2,1,28,QM
9/2/2024,2,2,30,SO
9/2/2024,2,2,25,KH
9/2/2024,2,3,29,HS
9/2/2024,2,2,23,JD
9/2/2024,2,3,5,KM
9/2/2024,3,3,25,KH
9/2/2024,3,1,23,QM
9/2/2024,3,3,30,JD
9/2/2024,3,2,33,SO
9/2/2024,3,2,41,KM
9/2/2024,3,3,27,DN
9/2/2024,3,3,5,HS
9/9/2024,1,1,45,SO
9/9/2024,1,1,35,KH
9/9/2024,1,1,17,QM
9/9/2024,1,1,50,ER
9/9/2024,1,2,35,DN
9/9/2024,1,2,36,JD
9/9/2024,2,1,30,QM
9/9/2024,2,1,41,ER
9/9/2024,2,2,47,KH
9/9/2024,2,2,56,DN
9/9/2024,2,1,40,SO
9/9/2024,2,2,38,JD